word,fre
`besides,1
aaas,6
abandon,2
abandoned,1
abc,1
abdicate,1
abide,1
abiding,1
abilities,1
ability,10
able,5
abound,2
aboutface,2
abroad,2
abrupt,2
abruptly,1
absence,3
absolute,2
absolutist,1
abstract,1
abundant,3
abuzz,1
academia,1
academic,3
academics,1
academies,1
academy,3
accelerate,1
accept,6
acceptable,2
acceptance,4
accepted,5
accepting,2
access,13
accessed,1
accessibility,1
accessible,2
accident,2
accidentally,1
accidents,1
acclaim,1
acclaimed,1
accompanies,1
accompanying,1
accomplish,1
accomplishes,1
accord,1
according,49
account,3
accountability,1
accountable,2
accounting,3
accounts,6
accumulation,1
accuracy,2
accusation,1
accustomed,1
achieve,6
achieved,2
achievement,3
achievementbased,2
achievements,2
achievers,2
acknowledged,1
acknowledging,1
ackroyd,1
acquaintance,1
acquaintances,1
acquire,2
acquisition,1
across,9
act,14
acted,1
action,4
actions,6
activates,1
active,3
actively,1
activists,1
activities,2
activity,2
acts,5
actual,3
actually,5
ad,7
adapt,2
adaptable,1
adapted,1
adaptive,1
add,5
added,2
adding,4
addition,2
additional,3
additions,1
address,9
addressing,1
adds,4
adeline,1
adequate,1
adequately,2
adhere,1
adhered,1
adherence,1
adjust,1
adjusted,1
adjusting,1
adjustments,1
administering,1
administration,8
admirable,1
admired,1
admission,1
admissions,2
admitting,3
adolescents,1
adopt,1
adopted,1
adoption,1
adoptive,1
adornment,1
ads,8
adulthood,2
adults,4
advance,1
advanced,5
advances,1
advancing,1
advantage,7
advantages,1
advent,1
advertise,1
advertisements,3
advertisers,14
advertising,4
advice,1
advised,2
advises,1
advisory,1
advocated,2
advocates,4
aerial,2
aeroplane,1
affair,2
affairs,3
affect,4
affected,3
affecting,2
affiliations,1
affirm,1
affirming,1
afford,5
affordable,1
africa,1
afterward,1
ag,10
againsts,1
age,10
agencies,1
agenda,1
agendas,1
agents,1
agespecific,1
aggravate,1
aggravates,1
aggressiveness,1
aging,1
ago,10
agree,7
agreeable,1
agreed,5
agreement,2
agreements,1
agrotechnological,1
ahead,2
aim,4
aimed,3
aims,1
air,5
airborne,1
airline,3
airlines,2
airplanes,1
airport,1
airports,3
alan,1
alarmingly,1
albert,2
alerts,1
alex,1
alexander,1
alien,2
alike,2
alito,2
alive,1
allbut,1
allegations,1
alleged,1
allen,6
alleviated,1
alliance,1
allies,1
allocation,2
allotted,1
allow,10
allowance,6
allowed,7
allowing,2
allows,5
almost,7
alone,7
along,7
alongside,1
already,9
also,41
alter,2
alteration,1
altered,3
alternative,2
alternatives,1
although,8
alvarez,7
always,14
amateur,2
amazing,1
amazoncom,1
ambiguous,3
ambition,2
ambitions,1
amendment,3
america,27
american,32
americans,8
amiable,1
among,16
amount,4
amounts,1
